# CPU cores (cores): 8
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.07
# Maximum Number of Iterations (maxit): 300
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 0.975s] : 1.44062220516
@ 1 : [91.466s, 132.545s] : 0.918056655215
@ 2 : [91.339s, 263.907s] : 0.87985836736
@ 3 : [91.396s, 395.347s] : 0.86498662426
@ 4 : [91.222s, 526.623s] : 0.857125971361
@ 5 : [91.462s, 658.100s] : 0.852271505317
@ 6 : [91.308s, 789.414s] : 0.84893983843
@ 7 : [91.250s, 920.690s] : 0.846455120327
@ 8 : [91.344s, 1051.984s] : 0.844465457394
@ 9 : [91.238s, 1183.300s] : 0.842768196787
@ 10 : [91.456s, 1314.829s] : 0.841235641382
@ 11 : [91.379s, 1446.273s] : 0.839779308048
@ 12 : [91.390s, 1577.713s] : 0.838330831365
@ 13 : [91.193s, 1708.958s] : 0.836830880206
@ 14 : [91.231s, 1840.176s] : 0.835222716805
@ 15 : [91.488s, 1971.655s] : 0.833449616907
@ 16 : [91.282s, 2102.964s] : 0.831456805738
@ 17 : [91.380s, 2234.361s] : 0.829198751803
@ 18 : [91.389s, 2365.739s] : 0.82665075607
@ 19 : [91.376s, 2497.213s] : 0.823819892285
@ 20 : [91.293s, 2628.544s] : 0.82074776016
@ 21 : [91.041s, 2759.567s] : 0.817500940354
@ 22 : [91.349s, 2890.962s] : 0.814153498828
@ 23 : [91.379s, 3022.394s] : 0.81077099888
@ 24 : [91.417s, 3153.816s] : 0.807402316292
@ 25 : [91.262s, 3285.111s] : 0.804079062455
@ 26 : [91.161s, 3416.362s] : 0.800819043633
@ 27 : [91.435s, 3547.867s] : 0.797630583814
@ 28 : [91.285s, 3679.214s] : 0.794516167543
@ 29 : [91.238s, 3810.467s] : 0.791475039066
@ 30 : [91.477s, 3942.014s] : 0.788504894133
@ 31 : [91.285s, 4073.397s] : 0.785602910815
@ 32 : [91.399s, 4204.798s] : 0.78276633393
@ 33 : [91.284s, 4336.155s] : 0.779992769441
@ 34 : [91.291s, 4467.451s] : 0.777280296088
@ 35 : [91.396s, 4598.892s] : 0.774627466648
@ 36 : [91.487s, 4730.370s] : 0.772033247552
@ 37 : [91.180s, 4861.590s] : 0.769496929385
@ 38 : [91.475s, 4993.198s] : 0.767018029467
@ 39 : [91.303s, 5124.579s] : 0.764596199659
@ 40 : [91.128s, 5255.736s] : 0.762231146733
@ 41 : [91.110s, 5386.923s] : 0.759922568676
