# CPU cores (cores): 64
# Learning Rate (eta): 0.01
# Lambda (lamb): 0.1
# Maximum Number of Iterations (maxit): 50
# Matrix Rank (rank): 10
# RMSE Computation Interval (rmseint): 1
# Testing File (test): ratings_debug_test.mtx
# Training File (train): ratings_debug_train.mtx
@ 0 : [0.000s, 2.544s] : 1.44062220516
@ 1 : [22.558s, 37.238s] : 0.919753453804
@ 2 : [23.274s, 72.928s] : 0.88306831234
@ 3 : [23.305s, 108.602s] : 0.868675553683
@ 4 : [23.162s, 143.911s] : 0.861163505343
@ 5 : [22.873s, 178.996s] : 0.856635707614
@ 6 : [23.039s, 214.449s] : 0.853636419936
@ 7 : [23.138s, 249.995s] : 0.851501886168
@ 8 : [23.534s, 286.046s] : 0.849888858966
@ 9 : [23.198s, 321.674s] : 0.84860319345
@ 10 : [23.108s, 357.334s] : 0.847527019465
@ 11 : [23.405s, 393.227s] : 0.846584106509
@ 12 : [23.289s, 429.251s] : 0.845721854489
@ 13 : [23.269s, 465.100s] : 0.844901163463
@ 14 : [23.562s, 501.420s] : 0.844090280494
@ 15 : [23.614s, 538.012s] : 0.843260770937
@ 16 : [23.344s, 574.077s] : 0.84238474046
@ 17 : [23.422s, 609.834s] : 0.841432993407
@ 18 : [23.568s, 645.950s] : 0.840374214726
@ 19 : [23.721s, 682.548s] : 0.83917557781
@ 20 : [23.457s, 718.653s] : 0.837805317659
@ 21 : [23.432s, 754.944s] : 0.836237521533
@ 22 : [23.450s, 790.999s] : 0.834458436094
@ 23 : [23.559s, 827.246s] : 0.832472168348
@ 24 : [23.633s, 863.711s] : 0.83030279955
@ 25 : [23.429s, 899.962s] : 0.827990957271
@ 26 : [23.706s, 936.594s] : 0.825585747276
@ 27 : [23.739s, 973.174s] : 0.823135494284
@ 28 : [23.571s, 1009.473s] : 0.820680840992
@ 29 : [23.471s, 1045.839s] : 0.81825171176
@ 30 : [23.646s, 1082.042s] : 0.815867511548
@ 31 : [23.672s, 1118.436s] : 0.813539052679
@ 32 : [23.525s, 1154.607s] : 0.811270924885
@ 33 : [23.509s, 1190.759s] : 0.809063608916
@ 34 : [23.614s, 1226.946s] : 0.806915101335
@ 35 : [23.597s, 1263.430s] : 0.804822062133
@ 36 : [23.433s, 1299.610s] : 0.802780581637
@ 37 : [23.245s, 1335.675s] : 0.80078667063
@ 38 : [23.349s, 1371.550s] : 0.798836558247
@ 39 : [23.544s, 1407.956s] : 0.796926859339
@ 40 : [23.426s, 1443.828s] : 0.795054654156
@ 41 : [23.676s, 1480.110s] : 0.793217509649
@ 42 : [23.826s, 1516.495s] : 0.791413462587
@ 43 : [23.535s, 1552.774s] : 0.789640978663
@ 44 : [23.450s, 1588.909s] : 0.787898897784
@ 45 : [23.526s, 1625.248s] : 0.786186373004
@ 46 : [23.715s, 1661.722s] : 0.784502808532
@ 47 : [23.531s, 1697.913s] : 0.78284780068
@ 48 : [23.522s, 1734.109s] : 0.781221084333
@ 49 : [23.673s, 1770.519s] : 0.779622486449
@ 50 : [23.586s, 1806.946s] : 0.778051887265
* RMSE Train : 0.778052
* RMSE Test  : 0.874497
